assembly_accession	sample_name	GenomeID	haplotype	GenHapID
GCA_041900255.1	HG00408_pat	HG00408	Hap1	HG00408_Hap1
GCA_041900365.1	HG00597_pat	HG00597	Hap1	HG00597_Hap1
GCA_041900145.1	HG01192_pat	HG01192	Hap1	HG01192_Hap1
GCA_041900235.1	HG01261_pat	HG01261	Hap1	HG01261_Hap1
GCA_041900165.1	HG02015_pat	HG02015	Hap1	HG02015_Hap1
GCA_041900085.1	HG02056_pat	HG02056	Hap1	HG02056_Hap1
GCA_041899985.1	HG02129_pat	HG02129	Hap1	HG02129_Hap1
GCA_041899975.1	HG02258_pat	HG02258	Hap1	HG02258_Hap1
GCA_041899965.1	HG03834_pat	HG03834	Hap1	HG03834_Hap1
GCA_046000135.1	HG01975_pat	HG01975	Hap1	HG01975_Hap1
GCA_046000095.1	HG02602_pat	HG02602	Hap1	HG02602_Hap1
GCA_046000115.1	HG04187_pat	HG04187	Hap1	HG04187_Hap1
GCA_046000005.1	NA18879_pat	NA18879	Hap1	NA18879_Hap1
GCA_046000145.1	NA20752_pat	NA20752	Hap1	NA20752_Hap1
GCA_018852595.2	HG02145_pat	HG02145	Hap1	HG02145_Hap1
GCA_042027545.1	HG00609_pat	HG00609	Hap1	HG00609_Hap1
GCA_042028805.1	HG00642_pat	HG00642	Hap1	HG00642_Hap1
GCA_042028835.1	HG00738_pat	HG00738	Hap1	HG00738_Hap1
GCA_042027475.1	HG01099_pat	HG01099	Hap1	HG01099_Hap1
GCA_042029915.1	HG01255_pat	HG01255	Hap1	HG01255_Hap1
GCA_042028795.1	HG01346_pat	HG01346	Hap1	HG01346_Hap1
GCA_042028645.1	HG01433_pat	HG01433	Hap1	HG01433_Hap1
GCA_042027595.1	HG01496_pat	HG01496	Hap1	HG01496_Hap1
GCA_042028275.1	HG01884_pat	HG01884	Hap1	HG01884_Hap1
GCA_042027505.1	HG01981_pat	HG01981	Hap1	HG01981_Hap1
GCA_042028705.1	HG01993_pat	HG01993	Hap1	HG01993_Hap1
GCA_042027455.1	HG02004_pat	HG02004	Hap1	HG02004_Hap1
