GenHapID	GenomeID	Haplotype	Subpopulation	Superpopulation	Sex	ProdYear
HG01891_Hap1	HG01891	Hap1	ACB	AFR	female	YR1
HG01891_Hap2	HG01891	Hap2	ACB	AFR	female	YR1
HG02486_Hap1	HG02486	Hap1	ACB	AFR	male	YR1
HG02486_Hap2	HG02486	Hap2	ACB	AFR	male	YR1
HG02559_Hap1	HG02559	Hap1	ACB	AFR	female	YR1
HG02559_Hap2	HG02559	Hap2	ACB	AFR	female	YR1
HG02257_Hap1	HG02257	Hap1	ACB	AFR	female	YR1
HG02257_Hap2	HG02257	Hap2	ACB	AFR	female	YR1
HG01358_Hap1	HG01358	Hap1	CLM	AMR	male	YR1
HG01358_Hap2	HG01358	Hap2	CLM	AMR	male	YR1
HG01123_Hap1	HG01123	Hap1	CLM	AMR	female	YR1
HG01123_Hap2	HG01123	Hap2	CLM	AMR	female	YR1
HG01361_Hap1	HG01361	Hap1	CLM	AMR	female	YR1
HG01361_Hap2	HG01361	Hap2	CLM	AMR	female	YR1
HG01258_Hap1	HG01258	Hap1	CLM	AMR	male	YR1
HG01258_Hap2	HG01258	Hap2	CLM	AMR	male	YR1
HG03516_Hap1	HG03516	Hap1	ESN	AFR	female	YR1
HG03516_Hap2	HG03516	Hap2	ESN	AFR	female	YR1
HG02572_Hap1	HG02572	Hap1	GWD	AFR	male	YR1
HG02572_Hap2	HG02572	Hap2	GWD	AFR	male	YR1
HG02886_Hap1	HG02886	Hap1	GWD	AFR	female	YR1
HG02886_Hap2	HG02886	Hap2	GWD	AFR	female	YR1
HG02717_Hap1	HG02717	Hap1	GWD	AFR	male	YR1
HG02717_Hap2	HG02717	Hap2	GWD	AFR	male	YR1
HG02630_Hap1	HG02630	Hap1	GWD	AFR	female	YR1
HG02630_Hap2	HG02630	Hap2	GWD	AFR	female	YR1
HG02622_Hap1	HG02622	Hap1	GWD	AFR	female	YR1
HG02622_Hap2	HG02622	Hap2	GWD	AFR	female	YR1
HG03540_Hap1	HG03540	Hap1	GWD	AFR	female	YR1
HG03540_Hap2	HG03540	Hap2	GWD	AFR	female	YR1
HG03453_Hap1	HG03453	Hap1	MSL	AFR	female	YR1
HG03453_Hap2	HG03453	Hap2	MSL	AFR	female	YR1
HG03579_Hap1	HG03579	Hap1	MSL	AFR	male	YR1
HG03579_Hap2	HG03579	Hap2	MSL	AFR	male	YR1
HG03471_Hap1	HG03471	Hap1	MSL	AFR	male	YR1
HG03471_Hap2	HG03471	Hap2	MSL	AFR	male	YR1
HG01978_Hap1	HG01978	Hap1	PEL	AMR	female	YR1
HG01978_Hap2	HG01978	Hap2	PEL	AMR	female	YR1
HG01928_Hap1	HG01928	Hap1	PEL	AMR	male	YR1
HG01928_Hap2	HG01928	Hap2	PEL	AMR	male	YR1
HG02148_Hap1	HG02148	Hap1	PEL	AMR	female	YR1
HG02148_Hap2	HG02148	Hap2	PEL	AMR	female	YR1
HG01952_Hap1	HG01952	Hap1	PEL	AMR	male	YR1
HG01952_Hap2	HG01952	Hap2	PEL	AMR	male	YR1
HG01106_Hap1	HG01106	Hap1	PUR	AMR	male	YR1
HG01106_Hap2	HG01106	Hap2	PUR	AMR	male	YR1
HG01175_Hap1	HG01175	Hap1	PUR	AMR	female	YR1
HG01175_Hap2	HG01175	Hap2	PUR	AMR	female	YR1
HG00741_Hap1	HG00741	Hap1	PUR	AMR	female	YR1
HG00741_Hap2	HG00741	Hap2	PUR	AMR	female	YR1
HG00735_Hap1	HG00735	Hap1	PUR	AMR	female	YR1
HG00735_Hap2	HG00735	Hap2	PUR	AMR	female	YR1
HG01071_Hap1	HG01071	Hap1	PUR	AMR	female	YR1
HG01071_Hap2	HG01071	Hap2	PUR	AMR	female	YR1
HG00621_Hap1	HG00621	Hap1	CHS	EAS	male	YR1
HG00621_Hap2	HG00621	Hap2	CHS	EAS	male	YR1
HG00438_Hap1	HG00438	Hap1	CHS	EAS	female	YR1
HG00438_Hap2	HG00438	Hap2	CHS	EAS	female	YR1
HG00673_Hap1	HG00673	Hap1	CHS	EAS	male	YR1
HG00673_Hap2	HG00673	Hap2	CHS	EAS	male	YR1
HG00423_Hap1	HG00423	Hap1	CHS	EAS	female	YR2
HG00423_Hap2	HG00423	Hap2	CHS	EAS	female	YR2
HG02027_Hap1	HG02027	Hap1	KHV	EAS	male	YR2
HG02027_Hap2	HG02027	Hap2	KHV	EAS	male	YR2
HG02083_Hap1	HG02083	Hap1	KHV	EAS	male	YR2
HG02083_Hap2	HG02083	Hap2	KHV	EAS	male	YR2
HG02523_Hap1	HG02523	Hap1	KHV	EAS	female	YR2
