ChildID	N	Sex	Subpopulation	Superpopulation	Production Year	GenomeID	ProdYear	In_HPRC_R2	QC_Pass
HG01891	BB05	female	ACB	AFR	YR1	HG01891	YR1	True	True
HG02486	BB55	male	ACB	AFR	YR1	HG02486	YR1	True	True
HG02559	BB68	female	ACB	AFR	YR1	HG02559	YR1	True	True
HG02257	BB21	female	ACB	AFR	YR1	HG02257	YR1	True	True
HG01358	CLM31	male	CLM	AMR	YR1	HG01358	YR1	True	True
HG01123	CLM02	female	CLM	AMR	YR1	HG01123	YR1	True	True
HG01361	CLM32	female	CLM	AMR	YR1	HG01361	YR1	True	True
HG01258	CLM16	male	CLM	AMR	YR1	HG01258	YR1	True	True
HG03516	NG107	female	ESN	AFR	YR1	HG03516	YR1	True	True
HG02572	GB21	male	GWD	AFR	YR1	HG02572	YR1	True	True
HG02886	GB89	female	GWD	AFR	YR1	HG02886	YR1	True	True
HG02717	GB50	male	GWD	AFR	YR1	HG02717	YR1	True	True
HG02630	GB33	female	GWD	AFR	YR1	HG02630	YR1	True	True
HG02622	GB31	female	GWD	AFR	YR1	HG02622	YR1	True	True
HG03540	GB125	female	GWD	AFR	YR1	HG03540	YR1	True	True
HG03453	SL50	female	MSL	AFR	YR1	HG03453	YR1	True	True
HG03579	SL72	male	MSL	AFR	YR1	HG03579	YR1	True	True
HG03471	SL56i	male	MSL	AFR	YR1	HG03471	YR1	True	True
HG01978	PEL26	female	PEL	AMR	YR1	HG01978	YR1	True	True
HG01928	PEL011	male	PEL	AMR	YR1	HG01928	YR1	True	True
HG02148	PEL39	female	PEL	AMR	YR1	HG02148	YR1	True	True
HG01952	PEL019	male	PEL	AMR	YR1	HG01952	YR1	True	True
HG01106	PR25	male	PUR	AMR	YR1	HG01106	YR1	True	True
HG01175	PR36	female	PUR	AMR	YR1	HG01175	YR1	True	True
HG00741	PR09	female	PUR	AMR	YR1	HG00741	YR1	True	True
HG00735	PR06	female	PUR	AMR	YR1	HG00735	YR1	True	True
HG01071	PR17	female	PUR	AMR	YR1	HG01071	YR1	True	True
HG00621	SH066	male	CHS	EAS	YR1	HG00621	YR1	True	True
HG00438	SH012	female	CHS	EAS	YR1	HG00438	YR1	True	True
HG00673	SH079	male	CHS	EAS	YR1	HG00673	YR1	True	True
HG00423	SH007	female	CHS	EAS	YR2	HG00423	YR2	True	True
HG02027	VN050	male	KHV	EAS	YR2	HG02027	YR2	True	True
HG02083	VN069	male	KHV	EAS	YR2	HG02083	YR2	True	True
HG02523	VN090	female	KHV	EAS	YR2	HG02523	YR2	True	True
HG02132	VN080	male	KHV	EAS	YR2	HG02132	YR2	True	True
HG02135	VN081	male	KHV	EAS	YR2	HG02135	YR2	True	True
